onboarding_id,account_id,company,plan,csm_owner,kickoff_date,go_live_date,target_days_to_value,actual_days_to_value,on_time,delay_days,primary_delay_reason,current_phase,completed,kickoff_call_held,data_migration_complete,quickbooks_connected,tech_app_adopted,first_invoice_sent,health_score_at_day30,nps_at_day30
ONB-0001,ACC-0221,Summit Facilities Management Associates,Starter,Omar Castillo,2023-02-03,2023-02-24,21,21,Yes,0,None,Data Migration,No,Yes,Yes,Yes,Yes,Yes,95.0,6
ONB-0002,ACC-0529,Premier Electrical Systems,Growth,Sadia Islam,2024-07-23,2024-08-30,21,38,No,17,QuickBooks sync failure,Data Migration,No,Yes,Yes,Yes,No,No,29.9,0
ONB-0003,ACC-0624,ProServ HVAC Associates,Growth,Felix Brennan,2022-11-24,2022-12-15,21,21,Yes,0,None,Completed,Yes,Yes,Yes,Yes,Yes,Yes,84.8,5
ONB-0004,ACC-0100,Heritage Electrical Services,Growth,Jordan Blake,2023-11-11,2023-11-29,21,18,Yes,0,None,Go-Live,No,Yes,Yes,No,No,Yes,36.5,8
ONB-0005,ACC-0446,Heritage Plumbing Group,Growth,Jordan Blake,2023-04-23,2023-05-31,21,38,No,17,Customer unresponsive,Kickoff,No,Yes,Yes,Yes,No,No,51.8,4
ONB-0006,ACC-0084,ProServ Plumbing Associates,Starter,Jordan Blake,2022-12-01,2023-01-08,21,38,No,17,Technician app resistance,Data Migration,No,Yes,Yes,No,No,No,64.4,9
ONB-0007,ACC-0615,Elite HVAC Systems,Starter,Lena Fischer,2022-09-14,2022-11-01,21,48,No,27,QuickBooks sync failure,Training,No,Yes,Yes,No,No,No,78.0,10
ONB-0008,ACC-0028,OneCall Electrical Experts,Growth,Omar Castillo,2022-12-23,2023-01-10,21,18,Yes,0,None,Go-Live,No,Yes,Yes,Yes,Yes,Yes,84.6,8
ONB-0009,ACC-0359,Summit HVAC Services,Starter,Emma Solis,2022-09-11,2022-10-06,21,25,No,4,None,Kickoff,No,Yes,Yes,Yes,No,Yes,66.6,10
ONB-0010,ACC-0329,Heritage Plumbing Systems,Pro,Emma Solis,2022-07-16,2022-09-14,21,60,No,39,Customer unresponsive,Completed,Yes,Yes,Yes,Yes,No,No,68.1,5
ONB-0011,ACC-0569,Allied Landscaping Professionals,Growth,Ravi Mehta,2023-10-10,2023-11-04,21,25,No,4,QuickBooks sync failure,Data Migration,No,Yes,Yes,Yes,No,Yes,81.8,10
ONB-0012,ACC-0500,National Electrical Technologies,Starter,Felix Brennan,2023-03-14,2023-04-13,21,30,No,9,Customer unresponsive,Configuration,No,Yes,Yes,No,No,No,60.8,8
ONB-0013,ACC-0375,ProServ HVAC Solutions,Starter,Tanya Oluoch,2022-12-31,2023-01-21,21,21,Yes,0,None,Data Migration,No,Yes,Yes,Yes,Yes,Yes,44.8,1
ONB-0014,ACC-0213,Metro Other Experts,Starter,Ravi Mehta,2024-05-28,2024-06-22,21,25,No,4,Data migration issues,Training,No,Yes,Yes,No,Yes,Yes,76.6,6
ONB-0015,ACC-0019,Regional Pest Control Technologies,Starter,Felix Brennan,2022-07-09,2022-08-16,21,38,No,17,QuickBooks sync failure,Configuration,No,Yes,Yes,Yes,Yes,No,60.4,0
ONB-0016,ACC-0154,TrustWorks Other Partners,Starter,Emma Solis,2023-03-03,2023-04-02,21,30,No,9,None,Configuration,No,Yes,Yes,Yes,No,No,79.2,4
ONB-0017,ACC-0602,RapidFix HVAC Professionals,Growth,Jordan Blake,2023-09-30,2023-10-18,21,18,Yes,0,None,Configuration,No,Yes,Yes,No,No,Yes,53.3,2
ONB-0018,ACC-0420,SwiftLine Facilities Management Systems,Pro,Sadia Islam,2022-07-15,2022-08-05,21,21,Yes,0,None,Go-Live,No,Yes,Yes,Yes,Yes,Yes,57.9,3
ONB-0019,ACC-0089,Dynamic HVAC Systems,Growth,Felix Brennan,2023-04-16,2023-05-11,21,25,No,4,Data migration issues,Integrations,No,Yes,Yes,Yes,Yes,Yes,84.0,1
ONB-0020,ACC-0279,Premier Plumbing Solutions,Growth,Felix Brennan,2024-07-09,2024-07-27,21,18,Yes,0,None,Go-Live,No,Yes,Yes,No,Yes,Yes,78.4,0
ONB-0021,ACC-0600,Pinnacle Pest Control Group,Starter,Jordan Blake,2023-03-22,2023-04-21,21,30,No,9,Data migration issues,Configuration,No,Yes,Yes,No,Yes,No,74.8,3
ONB-0022,ACC-0616,SwiftLine HVAC Group,Starter,Tanya Oluoch,2024-06-11,2024-07-29,21,48,No,27,Data migration issues,Kickoff,No,Yes,Yes,Yes,Yes,No,84.8,8
