account_id,company,industry,state,plan,tech_count,mrr,arr,contract_months,start_date,renewal_date,csm_owner,health_score,health_status,logins_last_30d,jobs_dispatched_30d,mobile_adoption_pct,nps_score,open_p1p2_tickets,last_login_date,last_qbr_date,analytics_addon,inventory_addon,portal_pro_addon,churn_risk_flag,expansion_potential
ACC-0001,Allied HVAC Systems,HVAC,WI,Growth,12,957.4,11488.8,24,2020-05-04,2022-04-24,Jordan Blake,62.5,Yellow,5,47,46,8,3,2025-05-24,,No,No,Yes,No,High
ACC-0002,Premier HVAC Associates,HVAC,MN,Starter,1,371.59,4459.08,24,2023-05-09,2025-04-28,Sadia Islam,80.5,Green,15,47,94,8,5,2025-05-22,,No,Yes,Yes,No,Medium
ACC-0003,SwiftLine Plumbing Group,Plumbing,AZ,Pro,23,1622.66,19471.92,12,2021-07-16,2022-07-11,Sadia Islam,62.8,Yellow,7,21,96,3,6,2025-05-13,2024-12-30,No,No,No,No,None
ACC-0004,Regional Electrical Services,Electrical,NV,Pro,33,2035.16,24421.92,36,2024-08-15,2027-07-31,Jordan Blake,94.8,Green,29,57,89,7,0,2025-05-03,2025-02-07,No,No,Yes,No,None
ACC-0005,Dynamic Pest Control Group,Pest Control,IN,Starter,4,312.45,3749.4,24,2019-12-25,2021-12-14,Lena Fischer,65.4,Yellow,12,5,77,8,1,2025-06-01,,No,No,No,No,Low
ACC-0006,Apex Plumbing Works,Plumbing,VA,Growth,16,758.83,9105.96,24,2020-06-08,2022-05-29,Felix Brennan,76.3,Green,6,28,94,7,1,2025-06-01,,No,No,No,No,None
ACC-0007,Summit HVAC Systems,HVAC,IN,Starter,4,323.39,3880.68,12,2021-04-09,2022-04-04,Ravi Mehta,80.2,Green,12,60,71,10,2,2025-04-27,,No,No,No,No,Medium
ACC-0008,Apex Facilities Management Works,Facilities Management,WI,Pro,45,1687.91,20254.92,36,2024-08-04,2027-07-20,Omar Castillo,43.2,Yellow,8,7,23,0,1,2025-06-01,2025-03-03,Yes,No,No,No,High
ACC-0009,RapidFix Pest Control Solutions,Pest Control,GA,Enterprise,171,4679.25,56151.0,24,2020-12-29,2022-12-19,Emma Solis,71.8,Green,27,15,89,2,5,2025-05-15,2025-04-03,No,No,No,No,High
ACC-0010,Apex Pest Control Technologies,Pest Control,NY,Starter,1,369.45,4433.4,24,2022-03-25,2024-03-14,Ravi Mehta,77.0,Green,12,54,85,10,5,2025-05-24,,No,Yes,No,No,Low
ACC-0011,ProServ Plumbing Works,Plumbing,VA,Enterprise,111,3780.06,45360.72,24,2019-09-13,2021-09-02,Omar Castillo,93.0,Green,33,19,99,10,1,2025-05-02,2025-04-17,No,No,Yes,No,Medium
ACC-0012,National Plumbing Technologies,Plumbing,AZ,Starter,3,371.17,4454.04,12,2020-10-18,2021-10-13,Jordan Blake,32.4,Red,11,2,10,0,5,2025-05-02,,No,No,Yes,Yes,High
ACC-0013,Regional Landscaping Associates,Landscaping,WI,Starter,3,309.12,3709.44,12,2020-01-15,2021-01-09,Jordan Blake,76.2,Green,35,49,26,5,2,2025-04-24,,No,Yes,No,No,Low
ACC-0014,TrustWorks HVAC Group,HVAC,FL,Growth,8,644.32,7731.84,24,2023-07-30,2025-07-19,Emma Solis,67.1,Yellow,2,37,93,3,1,2025-04-28,,No,No,No,No,Low
ACC-0015,Summit HVAC Systems,HVAC,FL,Growth,9,667.85,8014.2,36,2022-07-02,2025-06-16,Felix Brennan,75.8,Green,35,22,56,7,5,2025-05-02,,No,No,Yes,No,Low
ACC-0016,SwiftLine Pest Control Experts,Pest Control,FL,Growth,9,705.51,8466.12,24,2024-10-09,2026-09-29,Jordan Blake,69.0,Yellow,12,47,60,7,5,2025-05-22,,No,No,No,No,High
ACC-0017,Elite HVAC Technologies,HVAC,AZ,Starter,2,254.74,3056.88,12,2022-08-15,2023-08-10,Jordan Blake,88.8,Green,32,29,74,8,2,2025-04-17,,No,No,Yes,No,Low
ACC-0018,BlueStar Electrical Experts,Electrical,NY,Starter,3,260.58,3126.96,12,2020-03-30,2021-03-25,Ravi Mehta,77.5,Green,17,55,16,10,1,2025-06-01,,No,No,No,No,Medium
ACC-0019,Regional Pest Control Technologies,Pest Control,NC,Starter,5,297.57,3570.84,24,2020-02-29,2022-02-18,Felix Brennan,60.4,Yellow,20,3,90,0,6,2025-05-21,,No,Yes,Yes,No,High
ACC-0020,TrustWorks HVAC Technologies,HVAC,VA,Enterprise,112,5456.92,65483.04,12,2020-08-25,2021-08-20,Felix Brennan,83.2,Green,13,37,90,6,1,2025-05-09,2025-03-26,No,Yes,No,No,Low
ACC-0021,Heritage Facilities Management Associates,Facilities Management,PA,Growth,10,666.76,8001.12,36,2022-03-01,2025-02-13,Ravi Mehta,58.1,Yellow,18,1,49,2,1,2025-05-28,,No,Yes,No,No,Low
ACC-0022,Summit Electrical Services,Electrical,CA,Growth,17,632.68,7592.16,12,2022-05-14,2023-05-09,Jordan Blake,72.4,Green,38,6,58,6,0,2025-05-24,,No,Yes,No,No,Low
ACC-0023,TrustWorks Electrical Solutions,Electrical,AZ,Enterprise,62,5782.1,69385.2,24,2020-01-04,2021-12-24,Sadia Islam,43.2,Yellow,5,12,27,7,6,2025-05-11,2024-12-31,No,Yes,Yes,No,Medium
ACC-0024,Dynamic HVAC Systems,HVAC,OH,Growth,6,633.68,7604.16,12,2021-01-28,2022-01-23,Omar Castillo,41.9,Yellow,9,0,38,0,1,2025-05-10,,No,Yes,No,No,None
ACC-0025,Metro Other Services,Other,NV,Growth,12,633.26,7599.12,12,2024-10-09,2025-10-04,Sadia Islam,57.4,Yellow,4,39,52,1,2,2025-05-23,,No,No,No,No,Low
ACC-0026,Reliable HVAC Group,HVAC,TX,Growth,14,834.34,10012.08,12,2021-01-08,2022-01-03,Emma Solis,86.8,Green,17,58,73,10,2,2025-05-23,,No,No,No,No,High
ACC-0027,Pinnacle Facilities Management Systems,Facilities Management,WA,Growth,20,907.34,10888.08,24,2020-01-18,2022-01-07,Omar Castillo,60.6,Yellow,17,9,21,5,1,2025-05-12,,No,No,No,No,High
ACC-0028,OneCall Electrical Experts,Electrical,MO,Growth,9,902.53,10830.36,12,2023-01-30,2024-01-25,Omar Castillo,84.6,Green,26,35,73,8,4,2025-05-18,,No,Yes,No,No,Low
ACC-0029,Regional HVAC Works,HVAC,OH,Growth,5,672.3,8067.6,12,2024-03-08,2025-03-03,Sadia Islam,76.4,Green,35,30,27,1,0,2025-05-14,,No,Yes,No,No,Low
ACC-0030,Premier HVAC Group,HVAC,OR,Starter,2,273.43,3281.16,36,2023-04-25,2026-04-09,Ravi Mehta,74.6,Green,24,46,13,6,2,2025-05-28,,No,No,No,No,None
