escalation_id,ticket_id,account_id,company,plan,original_priority,escalated_to,escalation_reason,escalation_date,resolution_hours,resolved,root_cause,customer_satisfaction_after,required_engineering
ESC-0001,TKT-00001,ACC-0155,Dynamic Plumbing Professionals,Growth,P2,Tier 2 – Senior SE,P1 outage confirmed,2025-04-30,49.2,Yes,Network/infrastructure issue,4,No
ESC-0002,TKT-00018,ACC-0551,Premier Electrical Professionals,Growth,P2,Tier 2 – Senior SE,Complex integration failure,2024-12-30,36.9,No,Known platform bug – patch released,2,No
ESC-0003,TKT-00061,ACC-0022,Summit Electrical Services,Growth,P2,Tier 2 – Senior SE,Repeated escalation by same account,2024-11-06,59.5,Yes,Data migration error,5,No
ESC-0004,TKT-00072,ACC-0209,Heritage Pest Control Partners,Growth,P1,Tier 2 – Senior SE,P1 outage confirmed,2024-03-19,33.3,Yes,Permissions misconfiguration,4,No
ESC-0005,TKT-00084,ACC-0003,SwiftLine Plumbing Group,Pro,P2,Tier 2 – Senior SE,Complex integration failure,2025-05-25,59.0,Yes,Permissions misconfiguration,5,No
ESC-0006,TKT-00094,ACC-0376,SwiftLine Plumbing Professionals,Enterprise,P2,Tier 2 – Senior SE,P1 outage confirmed,2025-01-14,12.3,Yes,Third-party API change (QuickBooks),4,No
ESC-0007,TKT-00102,ACC-0271,Premier Facilities Management Works,Pro,P2,Tier 2 – Senior SE,Data corruption concern,2024-01-20,70.5,No,Customer misconfiguration,3,No
ESC-0008,TKT-00173,ACC-0528,Summit Facilities Management Professionals,Growth,P2,Tier 3 – Engineering,P1 outage confirmed,2025-01-20,23.5,Yes,Customer misconfiguration,2,Yes
ESC-0009,TKT-00187,ACC-0588,Apex Pest Control Services,Pro,P2,Tier 2 – Senior SE,P1 outage confirmed,2025-02-15,50.0,Yes,Customer misconfiguration,5,No
ESC-0010,TKT-00218,ACC-0120,National Plumbing Group,Starter,P2,Tier 2 – Senior SE,SLA breach imminent,2025-01-08,64.2,Yes,Customer misconfiguration,2,No
ESC-0011,TKT-00223,ACC-0294,ProServ Facilities Management Works,Pro,P1,Tier 2 – Senior SE,Complex integration failure,2025-04-24,13.0,Yes,Data migration error,5,No
ESC-0012,TKT-00271,ACC-0148,SwiftLine HVAC Partners,Pro,P2,Tier 2 – Senior SE,P1 outage confirmed,2024-01-29,60.7,Yes,Data migration error,4,No
ESC-0013,TKT-00304,ACC-0050,OneCall Facilities Management Group,Growth,P2,Tier 2 – Senior SE,Repeated escalation by same account,2025-02-19,27.1,Yes,Data migration error,4,No
ESC-0014,TKT-00309,ACC-0085,Summit Plumbing Works,Pro,P2,Tier 2 – Senior SE,Customer threatening churn,2024-08-25,67.2,Yes,Customer misconfiguration,4,No
ESC-0015,TKT-00322,ACC-0419,Heritage Pest Control Professionals,Enterprise,P2,Tier 3 – Engineering,Repeated escalation by same account,2024-01-24,63.7,Yes,Data migration error,4,Yes
ESC-0016,TKT-00328,ACC-0020,TrustWorks HVAC Technologies,Enterprise,P2,Tier 2 – Senior SE,Data corruption concern,2024-01-29,5.5,Yes,Network/infrastructure issue,5,No
ESC-0017,TKT-00352,ACC-0611,TrustWorks Plumbing Associates,Growth,P2,Tier 2 – Senior SE,P1 outage confirmed,2024-09-03,18.2,Yes,Known platform bug – patch released,4,No
ESC-0018,TKT-00393,ACC-0274,National Landscaping Experts,Growth,P2,Tier 2 – Senior SE,Customer threatening churn,2024-06-04,69.2,Yes,Customer misconfiguration,3,No
ESC-0019,TKT-00426,ACC-0520,National HVAC Partners,Pro,P2,Tier 2 – Senior SE,Data corruption concern,2024-02-23,18.0,Yes,Known platform bug – patch released,4,No
ESC-0020,TKT-00427,ACC-0545,ProServ Facilities Management Partners,Growth,P2,Tier 2 – Senior SE,Repeated escalation by same account,2024-08-24,49.5,Yes,Network/infrastructure issue,4,No
ESC-0021,TKT-00438,ACC-0236,TrustWorks HVAC Solutions,Enterprise,P1,Tier 3 – Engineering,Repeated escalation by same account,2024-03-15,63.5,Yes,Network/infrastructure issue,5,Yes
ESC-0022,TKT-00444,ACC-0246,Apex HVAC Professionals,Starter,P1,Tier 2 – Senior SE,Repeated escalation by same account,2024-07-19,46.5,Yes,Permissions misconfiguration,3,No
ESC-0023,TKT-00482,ACC-0276,Premier Plumbing Technologies,Enterprise,P2,Tier 3 – Engineering,SLA breach imminent,2024-05-12,12.5,Yes,Permissions misconfiguration,5,Yes
ESC-0024,TKT-00486,ACC-0150,National HVAC Professionals,Starter,P2,Tier 2 – Senior SE,P1 outage confirmed,2025-01-25,56.1,Yes,Third-party API change (QuickBooks),4,No
