note_id,account_id,company,note_type,author,created_date,note_content,follow_up_required,follow_up_date
NOTE-00001,ACC-0024,Dynamic HVAC Systems,Call,Omar Castillo,2024-04-10,Check-in call completed. Customer excited about new features. Next step: escalate to VP CS.,No,
NOTE-00002,ACC-0197,OneCall HVAC Services,Email,Ravi Mehta,2023-11-11,Sent renewal email — awaiting response.,No,2023-11-21
NOTE-00003,ACC-0271,Premier Facilities Management Works,Health Check,Lena Fischer,2024-10-20,Health score reviewed: 73.0. Status: Green. send upsell proposal flagged.,No,2024-11-01
NOTE-00004,ACC-0277,Heritage HVAC Experts,Call,Omar Castillo,2024-10-18,Spoke with IT lead re: reporting. Action: send documentation.,Yes,2024-11-01
NOTE-00005,ACC-0514,RapidFix HVAC Professionals,QBR,Sadia Islam,2024-04-23,Quarterly review completed. Key wins discussed. Upsell opportunity: loop in SE.,No,
NOTE-00006,ACC-0587,Premier Plumbing Solutions,QBR,Lena Fischer,2025-05-07,"QBR held with office manager. Reviewed usage metrics, discussed mobile app adoption. Customer positive.",No,
NOTE-00007,ACC-0377,SwiftLine Plumbing Group,Call,Tanya Oluoch,2024-03-10,Check-in call completed. Customer neutral. Next step: loop in SE.,Yes,
NOTE-00008,ACC-0145,SwiftLine Plumbing Technologies,Email,Lena Fischer,2024-06-21,Followed up on reporting. No response yet.,No,2024-07-01
NOTE-00009,ACC-0177,BlueStar Pest Control Associates,Email,Tanya Oluoch,2025-03-04,Sent renewal email — awaiting response.,No,
NOTE-00010,ACC-0251,TrustWorks HVAC Systems,Call,Sadia Islam,2024-01-07,Check-in call completed. Customer neutral. Next step: loop in SE.,No,
NOTE-00011,ACC-0225,National HVAC Professionals,Call,Ravi Mehta,2023-04-29,Spoke with ops director re: billing. Action: loop in SE.,Yes,2023-05-09
NOTE-00012,ACC-0490,Reliable Landscaping Services,QBR,Tanya Oluoch,2024-11-24,"QBR held with office manager. Reviewed usage metrics, discussed mobile app adoption. Customer neutral.",Yes,
NOTE-00013,ACC-0130,SwiftLine Pest Control Systems,Email,Tanya Oluoch,2025-01-28,Followed up on scheduling features. No response yet.,No,
NOTE-00014,ACC-0461,Heritage Pest Control Solutions,Health Check,Jordan Blake,2023-12-26,Weekly health check — score 73.6. Mobile adoption at risk.,No,
NOTE-00015,ACC-0297,Premier Electrical Professionals,Health Check,Omar Castillo,2024-01-25,Weekly health check — score 86.2. Mobile adoption at risk.,No,2024-01-28
NOTE-00016,ACC-0454,Premier Plumbing Solutions,Call,Ravi Mehta,2023-04-19,Check-in call completed. Customer frustrated. Next step: schedule follow-up.,Yes,2023-04-29
NOTE-00017,ACC-0009,RapidFix Pest Control Solutions,Escalation,Emma Solis,2023-05-26,Escalated ticket re: QuickBooks sync. Engineering engaged.,No,2023-06-02
NOTE-00018,ACC-0238,Summit HVAC Experts,Call,Sadia Islam,2024-02-21,Spoke with IT lead re: scheduling features. Action: send upsell proposal.,No,
NOTE-00019,ACC-0500,National Electrical Technologies,Call,Felix Brennan,2024-09-10,Check-in call completed. Customer frustrated. Next step: schedule follow-up.,Yes,
NOTE-00020,ACC-0202,Premier Landscaping Professionals,QBR,Emma Solis,2023-11-26,Quarterly review completed. Key wins discussed. Upsell opportunity: schedule follow-up.,No,
NOTE-00021,ACC-0310,ProServ Other Associates,Email,Felix Brennan,2024-06-05,Customer replied re: pricing. considering cancellation.,No,
NOTE-00022,ACC-0509,Allied HVAC Associates,Email,Lena Fischer,2023-01-27,Customer replied re: mobile app adoption. positive.,No,
NOTE-00023,ACC-0286,Pinnacle Facilities Management Professionals,Call,Omar Castillo,2023-06-09,Check-in call completed. Customer frustrated. Next step: send upsell proposal.,No,
NOTE-00024,ACC-0210,Apex HVAC Associates,Email,Felix Brennan,2024-03-14,Sent renewal email — awaiting response.,No,2024-03-18
NOTE-00025,ACC-0539,Regional Plumbing Systems,Call,Sadia Islam,2024-05-16,Check-in call completed. Customer excited about new features. Next step: escalate to VP CS.,No,
NOTE-00026,ACC-0384,RapidFix Pest Control Group,Health Check,Felix Brennan,2024-04-18,Health score reviewed: 55.8. Status: Yellow. schedule follow-up flagged.,No,2024-04-25
NOTE-00027,ACC-0124,Heritage Facilities Management Technologies,Renewal Discussion,Jordan Blake,2025-03-21,Renewal proposal sent. Upsell discussed: Analytics Add-On.,No,
NOTE-00028,ACC-0472,Heritage Pest Control Solutions,Health Check,Emma Solis,2025-01-06,Health score reviewed: 88.8. Status: Green. schedule follow-up flagged.,Yes,2025-01-09
