churn_id,account_id,company,plan,arr_lost,mrr_lost,churn_date,churn_reason_primary,churn_reason_secondary,health_score_at_churn,health_status_at_churn,days_since_last_login,csm_owner,save_attempted,save_offer_type,save_succeeded,win_back_eligible,competitor_moved_to,contract_remaining_months
CHR-0001,ACC-0109,SwiftLine Facilities Management Technologies,Pro,19867.68,1655.64,2024-09-19,Price sensitivity,Integration failure,59.3,Yellow,58,Lena Fischer,Yes,None,No,No,None known,2
CHR-0002,ACC-0390,TrustWorks Facilities Management Group,Growth,8950.8,745.9,2025-04-02,Onboarding never completed,Switched to competitor,52.2,Yellow,36,Emma Solis,No,None,No,Yes,ServiceTitan,7
CHR-0003,ACC-0352,Pinnacle HVAC Solutions,Starter,3815.28,317.94,2024-03-07,Integration failure,None,65.0,Yellow,49,Felix Brennan,Yes,Price discount,No,Yes,Jobber,3
CHR-0004,ACC-0245,OneCall HVAC Technologies,Starter,3565.8,297.15,2025-01-28,Switched to competitor,Onboarding never completed,62.2,Yellow,18,Omar Castillo,Yes,1-month credit,No,No,None known,7
CHR-0005,ACC-0492,SwiftLine Pest Control Experts,Growth,8250.36,687.53,2024-03-08,Technician adoption failure,Integration failure,53.6,Yellow,30,Ravi Mehta,Yes,Price discount,No,No,None known,4
CHR-0006,ACC-0636,TrustWorks HVAC Experts,Pro,22629.72,1885.81,2024-05-01,Business closed/downsized,Price sensitivity,46.8,Yellow,48,Jordan Blake,Yes,1-month credit,No,No,Jobber,3
CHR-0007,ACC-0016,SwiftLine Pest Control Experts,Growth,8466.12,705.51,2024-04-18,Switched to competitor,Onboarding never completed,69.0,Yellow,37,Jordan Blake,Yes,None,No,No,ServiceTitan,3
CHR-0008,ACC-0339,Metro Facilities Management Services,Starter,4364.16,363.68,2024-04-30,Integration failure,Technician adoption failure,61.9,Yellow,53,Ravi Mehta,No,None,No,Yes,ServiceTitan,3
CHR-0009,ACC-0231,Allied HVAC Associates,Growth,9328.68,777.39,2025-01-25,Price sensitivity,Technician adoption failure,67.2,Yellow,42,Emma Solis,No,None,No,No,ServiceTitan,4
CHR-0010,ACC-0313,TrustWorks Electrical Experts,Starter,3295.32,274.61,2025-03-18,Price sensitivity,Business closed/downsized,33.0,Red,14,Omar Castillo,Yes,Price discount,No,No,ServiceTitan,5
CHR-0011,ACC-0186,SwiftLine Facilities Management Partners,Starter,4410.84,367.57,2024-04-10,Business closed/downsized,Business closed/downsized,66.8,Yellow,26,Tanya Oluoch,Yes,None,No,No,ServiceTitan,1
CHR-0012,ACC-0577,SwiftLine Plumbing Solutions,Starter,4184.4,348.7,2024-06-13,Switched to competitor,Integration failure,65.5,Yellow,13,Felix Brennan,No,None,No,Yes,None known,0
CHR-0013,ACC-0001,Allied HVAC Systems,Growth,11488.8,957.4,2025-03-08,Integration failure,None,62.5,Yellow,44,Jordan Blake,Yes,Price discount,No,No,None known,6
CHR-0014,ACC-0517,SwiftLine HVAC Technologies,Pro,15888.12,1324.01,2025-02-02,Technician adoption failure,Price sensitivity,65.3,Yellow,26,Omar Castillo,Yes,Price discount,No,Yes,ServiceTitan,6
CHR-0015,ACC-0556,Elite Pest Control Technologies,Growth,7432.92,619.41,2025-04-25,Technician adoption failure,Business closed/downsized,50.4,Yellow,73,Lena Fischer,No,None,No,No,FieldEdge,8
CHR-0016,ACC-0079,Regional Plumbing Partners,Starter,3660.24,305.02,2024-06-06,Switched to competitor,Business closed/downsized,67.6,Yellow,86,Sadia Islam,Yes,None,No,No,FieldEdge,7
CHR-0017,ACC-0446,Heritage Plumbing Group,Growth,10070.52,839.21,2024-06-29,Switched to competitor,Switched to competitor,51.8,Yellow,14,Jordan Blake,Yes,Plan downgrade,No,Yes,ServiceTitan,8
CHR-0018,ACC-0172,Elite Pest Control Works,Starter,4959.48,413.29,2025-02-27,Technician adoption failure,Integration failure,58.0,Yellow,84,Sadia Islam,Yes,None,No,Yes,Jobber,4
CHR-0019,ACC-0229,ProServ Other Experts,Growth,9119.64,759.97,2024-11-07,Business closed/downsized,Business closed/downsized,69.4,Yellow,89,Sadia Islam,Yes,1-month credit,No,No,FieldEdge,8
CHR-0020,ACC-0075,Regional HVAC Professionals,Starter,3894.24,324.52,2024-08-04,Technician adoption failure,Integration failure,49.2,Yellow,80,Felix Brennan,Yes,1-month credit,No,Yes,Jobber,6
CHR-0021,ACC-0391,National HVAC Systems,Growth,11740.68,978.39,2024-08-25,Technician adoption failure,None,53.6,Yellow,24,Jordan Blake,No,None,No,No,None known,7
CHR-0022,ACC-0125,BlueStar HVAC Solutions,Starter,4926.12,410.51,2025-04-29,Technician adoption failure,Business closed/downsized,47.6,Yellow,28,Tanya Oluoch,Yes,None,No,No,Jobber,5
CHR-0023,ACC-0368,Dynamic HVAC Partners,Starter,3878.04,323.17,2025-01-14,Technician adoption failure,Business closed/downsized,47.4,Yellow,75,Lena Fischer,Yes,Plan downgrade,No,Yes,ServiceTitan,1
CHR-0024,ACC-0072,Reliable HVAC Experts,Starter,3146.76,262.23,2024-05-03,Switched to competitor,Price sensitivity,65.2,Yellow,58,Omar Castillo,No,None,No,No,ServiceTitan,5
CHR-0025,ACC-0508,National Electrical Experts,Starter,3844.68,320.39,2024-04-15,Technician adoption failure,Business closed/downsized,55.4,Yellow,54,Felix Brennan,Yes,Plan downgrade,No,Yes,Jobber,7
CHR-0026,ACC-0582,Dynamic HVAC Solutions,Starter,4894.08,407.84,2025-01-05,Technician adoption failure,Integration failure,55.2,Yellow,70,Jordan Blake,No,None,No,Yes,None known,5
CHR-0027,ACC-0065,Premier Plumbing Systems,Pro,18007.2,1500.6,2024-06-19,Price sensitivity,Onboarding never completed,60.2,Yellow,35,Omar Castillo,Yes,Plan downgrade,No,Yes,FieldEdge,2
CHR-0028,ACC-0463,ProServ HVAC Experts,Pro,20094.6,1674.55,2024-04-08,Price sensitivity,None,42.9,Yellow,68,Felix Brennan,Yes,None,No,Yes,None known,2
CHR-0029,ACC-0427,Heritage HVAC Works,Enterprise,66910.2,5575.85,2024-01-07,Business closed/downsized,Business closed/downsized,51.5,Yellow,9,Sadia Islam,No,None,No,Yes,FieldEdge,5
CHR-0030,ACC-0136,SwiftLine HVAC Professionals,Starter,3121.8,260.15,2024-11-29,Price sensitivity,Business closed/downsized,51.2,Yellow,73,Omar Castillo,Yes,Plan downgrade,No,No,FieldEdge,0
CHR-0031,ACC-0570,Heritage Electrical Works,Starter,4906.2,408.85,2025-05-02,Integration failure,Integration failure,54.0,Yellow,55,Felix Brennan,Yes,Plan downgrade,No,Yes,FieldEdge,8
CHR-0032,ACC-0070,Pinnacle HVAC Partners,Pro,19104.48,1592.04,2025-03-27,Price sensitivity,None,61.2,Yellow,64,Tanya Oluoch,Yes,1-month credit,No,No,Jobber,5
CHR-0033,ACC-0629,Premier Facilities Management Works,Starter,3284.76,273.73,2025-04-19,Price sensitivity,Integration failure,69.2,Yellow,14,Lena Fischer,Yes,Price discount,No,Yes,Jobber,2
